Provider,TotalClaimCount,TotalInscClaimAmtReimbursed,AvgInscClaimAmtReimbursed,TotalDeductibleAmtPaid,AvgDeductibleAmtPaid,UniqueBeneficiaryCount,AvgClaimDuration,AvgLengthOfStay,NumChronicConditions_Mean,PotentialFraud
PRV51036,278,74880,269.3525179856115,1410.0,5.071942446043166,131,1.0503597122302157,,4.399280575539568,No
PRV51037,454,342230,753.8105726872246,25524.0,56.220264317180614,206,1.5330396475770924,4.565217391304348,4.656387665198238,Yes
PRV51038,141,265490,1882.9078014184397,31192.0,222.8,107,1.7801418439716312,4.033333333333333,4.843971631205674,No
PRV51040,86,74470,865.9302325581396,8784.0,103.34117647058824,69,1.6627906976744187,10.555555555555555,4.372093023255814,No
PRV51041,34,7410,217.94117647058823,270.0,7.9411764705882355,31,2.3529411764705883,,4.088235294117647,No
PRV51042,142,48050,338.38028169014086,310.0,2.183098591549296,128,1.232394366197183,,4.070422535211268,No
PRV51043,23,4480,194.7826086956522,0.0,0.0,20,0.0,,4.260869565217392,No
PRV51044,59,21330,361.52542372881356,130.0,2.2033898305084745,39,2.152542372881356,,4.508474576271187,No
PRV51045,31,8390,270.64516129032256,40.0,1.2903225806451613,29,2.2580645161290325,,4.483870967741935,No
PRV51046,38,109370,2878.157894736842,8644.0,227.47368421052633,26,1.631578947368421,4.5,5.105263157894737,No
PRV51047,11,2530,230.0,0.0,0.0,11,3.090909090909091,,3.909090909090909,No
PRV51048,38,27700,728.9473684210526,4352.0,114.52631578947368,33,0.6052631578947368,4.75,4.921052631578948,No
PRV51049,71,21720,305.9154929577465,190.0,2.676056338028169,65,1.7887323943661972,,4.661971830985915,No
PRV51052,46,30800,669.5652173913044,2346.0,51.0,37,2.282608695652174,9.0,4.1521739130434785,Yes
PRV51053,1,8000,8000.0,1068.0,1068.0,1,5.0,5.0,4.0,No
PRV51054,57,15130,265.43859649122805,140.0,2.456140350877193,40,2.3508771929824563,,3.456140350877193,No
PRV51055,22,21640,983.6363636363636,2206.0,100.27272727272727,22,0.5909090909090909,5.5,4.681818181818182,No
PRV51056,22,14700,668.1818181818181,2146.0,97.54545454545455,21,0.7272727272727273,3.0,5.545454545454546,No
PRV51057,5,6830,1366.0,0.0,0.0,4,0.0,,3.2,No
PRV51058,83,107030,1289.5180722891566,5540.0,66.74698795180723,75,1.3012048192771084,7.4,4.518072289156627,No
PRV51059,96,421060,4386.041666666667,26940.0,280.625,82,2.4791666666666665,6.88,4.208333333333333,Yes
PRV51060,42,43710,1040.7142857142858,5340.0,127.14285714285714,42,2.3095238095238093,4.8,4.523809523809524,No
PRV51061,145,54940,378.8965517241379,1328.0,9.158620689655173,67,2.393103448275862,8.0,4.062068965517241,No
PRV51062,397,153380,386.3476070528967,3944.0,9.934508816120907,166,1.5969773299748111,4.333333333333333,4.738035264483627,No
PRV51063,149,51110,343.02013422818794,160.0,1.0738255033557047,115,1.610738255033557,,4.469798657718121,No
PRV51064,303,360320,1189.1749174917493,38948.0,128.54125412541254,227,1.9504950495049505,5.305555555555555,4.702970297029703,Yes
PRV51065,28,76570,2734.6428571428573,9722.0,360.0740740740741,26,2.9285714285714284,5.6,4.571428571428571,No
PRV51066,24,24790,1032.9166666666667,2236.0,93.16666666666667,21,1.0833333333333333,2.0,3.875,No
PRV51067,58,334520,5767.586206896552,13096.0,225.79310344827587,49,2.310344827586207,6.583333333333333,4.5,Yes
PRV51068,261,143260,548.8888888888889,8984.0,34.55384615384615,214,1.3754789272030652,3.0,4.287356321839081,No
PRV51070,99,125410,1266.7676767676767,10980.0,110.9090909090909,69,1.9090909090909092,4.1,3.9696969696969697,No
PRV51071,24,8550,356.25,50.0,2.0833333333333335,24,2.0833333333333335,,4.875,No
PRV51072,212,119170,562.122641509434,12178.0,57.71563981042654,160,1.5377358490566038,4.25,4.433962264150943,No
PRV51074,39,41170,1055.6410256410256,5420.0,138.97435897435898,39,1.8974358974358974,2.6,4.615384615384615,No
PRV51075,17,8550,502.94117647058823,70.0,4.117647058823529,13,1.1764705882352942,,4.470588235294118,No
PRV51076,29,10230,352.7586206896552,50.0,1.7241379310344827,27,1.1724137931034482,,4.758620689655173,No
PRV51077,33,204350,6192.424242424242,16220.0,506.875,30,4.181818181818182,5.9375,5.696969696969697,Yes
PRV51078,23,78270,3403.0434782608695,8644.0,392.90909090909093,23,2.652173913043478,6.666666666666667,4.217391304347826,No
PRV51081,200,124080,620.4,7168.0,35.84,131,1.62,6.0,4.615,No
PRV51082,34,5470,160.88235294117646,70.0,2.0588235294117645,31,1.1764705882352942,,3.8529411764705883,No
PRV51083,90,18100,201.11111111111111,140.0,1.5555555555555556,81,1.3777777777777778,,4.711111111111111,No
PRV51084,110,215580,1959.8181818181818,21890.0,199.0,85,1.6727272727272726,5.65,4.4363636363636365,Yes
PRV51086,139,446170,3209.856115107914,33168.0,238.61870503597123,115,2.7985611510791366,4.838709677419355,4.41726618705036,No
PRV51089,228,230900,1012.719298245614,18696.0,82.36123348017621,197,1.6929824561403508,5.166666666666667,4.390350877192983,No
PRV51090,7,5830,832.8571428571429,60.0,8.571428571428571,7,5.714285714285714,,4.285714285714286,No
PRV51091,44,9270,210.6818181818182,80.0,1.8181818181818181,44,0.9318181818181818,,4.5,No
PRV51093,9,13710,1523.3333333333333,2136.0,237.33333333333334,9,1.4444444444444444,6.0,4.666666666666667,No
PRV51096,5,3200,640.0,100.0,20.0,5,4.0,,4.8,No
PRV51097,125,44420,355.36,230.0,1.84,71,1.744,,3.92,No
PRV51098,4,300,75.0,0.0,0.0,4,0.0,,6.0,No
PRV51100,5,78000,15600.0,5340.0,1068.0,5,6.0,6.0,3.6,No
PRV51101,3,16600,5533.333333333333,3204.0,1068.0,3,3.3333333333333335,3.3333333333333335,6.333333333333333,No
PRV51102,12,148000,12333.333333333334,12816.0,1068.0,11,4.0,4.0,4.75,No
PRV51103,6,440,73.33333333333333,60.0,10.0,4,0.0,,7.166666666666667,Yes
PRV51104,12,1900,158.33333333333334,110.0,9.166666666666666,9,1.1666666666666667,,5.0,No
PRV51105,12,6540,545.0,0.0,0.0,12,3.3333333333333335,,5.083333333333333,No
PRV51108,19,156000,8210.526315789473,19224.0,1068.0,19,5.2631578947368425,5.2631578947368425,5.947368421052632,No
PRV51109,3,18000,6000.0,3204.0,1068.0,3,6.333333333333333,6.333333333333333,8.333333333333334,No
PRV51110,5,27000,5400.0,5340.0,1068.0,5,10.2,10.2,5.6,No
PRV51111,132,54860,415.6060606060606,200.0,1.5151515151515151,85,2.462121212121212,,4.492424242424242,No
PRV51112,304,105250,346.2171052631579,810.0,2.664473684210526,195,1.8453947368421053,,4.3618421052631575,No
PRV51113,132,46390,351.43939393939394,550.0,4.166666666666667,78,1.5454545454545454,,4.257575757575758,No
PRV51114,262,76720,292.82442748091603,560.0,2.1374045801526718,160,1.1984732824427482,,4.484732824427481,No
PRV51115,7,980,140.0,20.0,2.857142857142857,6,0.0,,4.142857142857143,No
PRV51117,12,1950,162.5,0.0,0.0,10,1.75,,5.75,No
PRV51118,16,136000,8500.0,14952.0,1068.0,16,4.25,4.25,5.0625,No
PRV51119,95,1080580,11374.526315789473,96985.0,1065.7692307692307,81,6.042105263157895,5.9787234042553195,5.3578947368421055,Yes
PRV51120,7,52000,7428.571428571428,7476.0,1068.0,7,4.142857142857143,4.142857142857143,5.0,No
PRV51121,7,81080,11582.857142857143,6408.0,915.4285714285714,7,5.571428571428571,6.5,4.428571428571429,No
PRV51122,7,1120,160.0,0.0,0.0,7,0.0,,2.857142857142857,No
PRV51123,31,26910,868.0645161290323,2176.0,70.19354838709677,28,2.4838709677419355,2.5,4.290322580645161,No
PRV51125,48,131310,2735.625,13096.0,272.8333333333333,32,2.4791666666666665,4.333333333333333,4.354166666666667,No
PRV51126,20,177000,8850.0,21360.0,1068.0,14,6.5,6.5,5.65,Yes
PRV51128,50,102220,2044.4,5340.0,106.8,38,2.34,6.4,5.0,No
PRV51129,96,22920,238.75,480.0,5.0,65,1.3541666666666667,,4.1875,No
PRV51130,7,4970,710.0,0.0,0.0,7,2.857142857142857,,4.714285714285714,No
PRV51131,8,1160,145.0,70.0,8.75,8,0.0,,4.125,No
PRV51132,8,5330,666.25,1068.0,133.5,6,1.75,4.0,2.375,No
PRV51134,15,7610,507.3333333333333,80.0,5.333333333333333,12,2.6666666666666665,,4.333333333333333,No
PRV51135,5,300,60.0,0.0,0.0,2,0.0,,4.2,No
PRV51136,1,20000,20000.0,1068.0,1068.0,1,2.0,2.0,2.0,No
PRV51137,55,16050,291.8181818181818,1348.0,24.509090909090908,51,0.2,7.0,4.836363636363636,No
PRV51138,26,13430,516.5384615384615,1068.0,41.07692307692308,21,1.5384615384615385,1.0,3.923076923076923,No
PRV51139,43,52580,1222.7906976744187,7516.0,174.7906976744186,42,2.4651162790697674,3.857142857142857,4.372093023255814,No
PRV51140,487,453130,930.4517453798768,50418.0,103.74074074074075,394,2.1047227926078027,6.0212765957446805,4.441478439425051,No
PRV51141,71,19490,274.50704225352115,170.0,2.3943661971830985,37,1.732394366197183,,3.4507042253521125,No
PRV51142,51,104570,2050.392156862745,7536.0,147.76470588235293,38,1.9215686274509804,7.428571428571429,4.176470588235294,No
PRV51143,77,20450,265.5844155844156,350.0,4.545454545454546,68,0.987012987012987,,3.844155844155844,No
PRV51144,30,61220,2040.6666666666667,4492.0,149.73333333333332,29,1.8,5.0,4.233333333333333,No
PRV51145,202,1606350,7952.227722772277,166748.0,846.4365482233502,161,4.900990099009901,5.937888198757764,5.183168316831683,Yes
PRV51146,352,1680910,4775.3125,171670.0,490.48571428571427,334,3.4232954545454546,5.049382716049383,4.8352272727272725,Yes
PRV51147,32,8860,276.875,210.0,6.5625,32,2.5,,3.65625,No
PRV51148,330,488660,1480.7878787878788,36294.0,110.3161094224924,263,1.8484848484848484,4.029411764705882,4.415151515151515,Yes
PRV51149,148,1120680,7572.1621621621625,123958.0,837.5540540540541,136,4.6891891891891895,5.612068965517241,5.412162162162162,Yes
PRV51151,233,201300,863.9484978540772,23298.0,100.42241379310344,225,1.6952789699570816,4.181818181818182,4.690987124463519,No
PRV51152,83,25770,310.48192771084337,500.0,6.024096385542169,39,1.7228915662650603,,4.686746987951807,No
PRV51153,87,71490,821.7241379310345,4902.0,56.3448275862069,83,1.4022988505747127,8.75,4.425287356321839,No
PRV51154,161,45750,284.16149068322983,790.0,4.906832298136646,147,1.3229813664596273,,4.472049689440993,No
PRV51155,115,26330,228.95652173913044,160.0,1.391304347826087,110,1.0434782608695652,,4.113043478260869,No
PRV51156,542,140640,259.48339483394835,1720.0,3.1734317343173433,425,1.367158671586716,,4.212177121771218,No
PRV51159,569,797790,1402.091388400703,70450.0,123.81370826010544,506,1.7398945518453428,5.630769230769231,4.3427065026362035,Yes
PRV51160,114,872020,7649.298245614035,96140.0,843.3333333333334,110,4.87719298245614,5.655555555555556,5.482456140350878,No
PRV51164,391,556980,1424.5012787723786,44548.0,113.93350383631713,334,1.659846547314578,6.2926829268292686,4.368286445012788,No
PRV51165,98,329700,3364.285714285714,28088.0,286.61224489795916,97,2.4489795918367347,6.576923076923077,4.357142857142857,No
PRV51166,5,24870,4974.0,1068.0,213.6,5,3.2,16.0,3.8,No
PRV51167,190,51980,273.57894736842104,410.0,2.1578947368421053,182,1.7421052631578948,,4.426315789473684,No
PRV51168,87,80470,924.9425287356322,9782.0,112.4367816091954,86,0.7701149425287356,5.222222222222222,4.413793103448276,No
PRV51169,77,19380,251.6883116883117,50.0,0.6493506493506493,74,1.4935064935064934,,4.467532467532467,No
PRV51170,16,145820,9113.75,8544.0,534.0,16,3.125,6.25,5.1875,Yes
PRV51171,59,13820,234.23728813559322,200.0,3.389830508474576,59,1.576271186440678,,4.4576271186440675,No
PRV51173,22,96290,4376.818181818182,7676.0,348.90909090909093,21,4.318181818181818,7.857142857142857,3.909090909090909,Yes
PRV51175,41,9650,235.3658536585366,90.0,2.1951219512195124,39,0.6585365853658537,,4.7317073170731705,No
PRV51176,445,145980,328.0449438202247,870.0,1.9550561797752808,399,2.0651685393258425,,4.548314606741573,No
PRV51178,65,431180,6633.538461538462,36602.0,563.1076923076923,64,4.523076923076923,7.970588235294118,4.676923076923077,Yes
PRV51179,26,5000,192.30769230769232,0.0,0.0,26,0.8076923076923077,,4.1923076923076925,No
PRV51180,129,94240,730.5426356589147,2416.0,18.728682170542637,86,1.6124031007751938,1.5,4.410852713178294,No
PRV51181,10,2150,215.0,0.0,0.0,10,2.6,,4.7,No
PRV51183,113,355790,3148.5840707964603,42790.0,382.05357142857144,105,2.504424778761062,4.658536585365853,4.601769911504425,No
PRV51185,8,1590,198.75,0.0,0.0,8,0.0,,3.875,No
PRV51186,2,100,50.0,0.0,0.0,2,0.0,,3.0,No
PRV51189,56,8740,156.07142857142858,240.0,4.285714285714286,51,0.6071428571428571,,3.767857142857143,No
PRV51190,66,39310,595.6060606060606,3534.0,53.54545454545455,64,0.6060606060606061,3.6666666666666665,4.803030303030303,No
PRV51191,32,10990,343.4375,90.0,2.8125,30,3.15625,,3.65625,No
PRV51194,9,18540,2060.0,2136.0,237.33333333333334,9,0.6666666666666666,3.0,3.5555555555555554,No
PRV51196,720,197060,273.69444444444446,1750.0,2.4305555555555554,432,1.4027777777777777,,4.2027777777777775,No
PRV51198,6,360,60.0,30.0,5.0,3,0.0,,1.8333333333333333,No
PRV51200,19,4420,232.6315789473684,0.0,0.0,16,1.5789473684210527,,4.526315789473684,No
PRV51201,45,10660,236.88888888888889,50.0,1.1111111111111112,41,0.9777777777777777,,4.355555555555555,No
PRV51202,12,5010,417.5,0.0,0.0,12,3.6666666666666665,,4.166666666666667,No
PRV51203,21,15340,730.4761904761905,80.0,3.8095238095238093,20,1.2380952380952381,,4.095238095238095,No
PRV51204,499,155180,310.9819639278557,600.0,1.2024048096192386,398,1.6673346693386772,,4.162324649298597,No
PRV51205,10,4660,466.0,70.0,7.0,10,2.0,,4.3,No
PRV51206,10,1560,156.0,0.0,0.0,10,0.6,,4.7,No
PRV51207,3,51000,17000.0,3204.0,1068.0,3,14.0,14.0,4.333333333333333,No
PRV51209,42,9910,235.95238095238096,170.0,4.0476190476190474,38,0.8333333333333334,,4.428571428571429,No
PRV51210,9,2890,321.1111111111111,0.0,0.0,9,0.0,,3.4444444444444446,No
PRV51211,2,100,50.0,0.0,0.0,2,0.0,,4.0,No
PRV51212,15,6260,417.3333333333333,70.0,4.666666666666667,15,1.9333333333333333,,5.066666666666666,No
PRV51213,2,50,25.0,0.0,0.0,2,0.0,,3.5,No
PRV51214,8,3200,400.0,0.0,0.0,8,0.75,,4.375,No
PRV51215,10,1610,161.0,0.0,0.0,10,0.7,,4.1,No
PRV51216,71,15560,219.1549295774648,570.0,8.028169014084508,66,1.8309859154929577,,4.23943661971831,No
PRV51217,5,2930,586.0,0.0,0.0,5,4.0,,3.4,No
PRV51218,7,520,74.28571428571429,0.0,0.0,7,0.0,,3.4285714285714284,No
PRV51219,8,5330,666.25,0.0,0.0,8,2.5,,4.375,No
PRV51221,1,70,70.0,0.0,0.0,1,0.0,,5.0,No
PRV51222,5,860,172.0,0.0,0.0,3,0.0,,3.4,No
PRV51224,7,3130,447.14285714285717,0.0,0.0,7,0.0,,4.0,No
PRV51225,8,1190,148.75,0.0,0.0,8,0.0,,3.375,No
PRV51226,20,7430,371.5,270.0,13.5,19,1.0,,3.8,No
PRV51228,5,430,86.0,70.0,14.0,5,0.0,,2.8,No
PRV51229,47,12410,264.0425531914894,110.0,2.3404255319148937,44,1.2127659574468086,,3.9148936170212765,No
PRV51230,30,12490,416.3333333333333,0.0,0.0,30,1.0,,4.8,No
PRV51231,2,16000,8000.0,2136.0,1068.0,2,9.5,9.5,5.5,No
PRV51232,1,26000,26000.0,1068.0,1068.0,1,9.0,9.0,7.0,No
PRV51233,3,27000,9000.0,3204.0,1068.0,3,4.333333333333333,4.333333333333333,3.3333333333333335,No
PRV51234,5,29000,5800.0,5340.0,1068.0,5,8.2,8.2,3.6,No
PRV51235,2,10000,5000.0,2136.0,1068.0,2,2.5,2.5,5.0,No
PRV51236,1,12000,12000.0,1068.0,1068.0,1,1.0,1.0,4.0,No
PRV51237,1,19000,19000.0,1068.0,1068.0,1,1.0,1.0,7.0,No
PRV51238,8,132000,16500.0,4272.0,1068.0,8,13.625,13.625,6.375,No
PRV51239,1,5000,5000.0,1068.0,1068.0,1,3.0,3.0,4.0,No
PRV51240,60,94020,1567.0,11788.0,196.46666666666667,38,2.95,5.545454545454546,4.15,No
PRV51241,60,90210,1503.5,9772.0,165.6271186440678,47,1.8166666666666667,6.8,4.916666666666667,No
PRV51242,111,117200,1055.855855855856,11100.0,100.9090909090909,87,1.5855855855855856,5.545454545454546,4.495495495495495,Yes
PRV51243,36,6330,175.83333333333334,270.0,7.5,15,0.6666666666666666,,4.555555555555555,No
PRV51244,1415,2153990,1522.2544169611308,211918.0,150.18993621545005,659,1.9201413427561838,5.885,4.460070671378092,Yes
PRV51245,173,83630,483.4104046242775,3894.0,22.63953488372093,58,1.5260115606936415,2.75,4.867052023121388,No
PRV51247,34,76240,2242.3529411764707,9722.0,294.6060606060606,26,2.264705882352941,3.8,4.264705882352941,No
PRV51248,2,23500,11750.0,1068.0,534.0,2,3.0,6.0,6.5,No
PRV51249,126,521330,4137.539682539683,51474.0,418.4878048780488,101,3.5476190476190474,7.294117647058823,4.571428571428571,Yes
PRV51250,85,22560,265.4117647058824,280.0,3.2941176470588234,71,1.2352941176470589,,4.023529411764706,No
PRV51251,11,3590,326.3636363636364,0.0,0.0,10,3.8181818181818183,,5.0,No
PRV51252,87,154930,1780.8045977011495,18356.0,213.4418604651163,76,1.7586206896551724,4.111111111111111,4.655172413793103,No
PRV51253,85,21740,255.76470588235293,300.0,3.5294117647058822,76,1.0235294117647058,,4.764705882352941,No
PRV51255,74,40570,548.2432432432432,2196.0,29.675675675675677,62,2.2837837837837838,5.0,4.472972972972973,No
PRV51256,95,38550,405.7894736842105,0.0,0.0,80,1.7473684210526317,,4.526315789473684,No
PRV51258,14,99660,7118.571428571428,8744.0,624.5714285714286,12,4.142857142857143,4.5,5.214285714285714,No
PRV51259,21,151960,7236.190476190476,4272.0,203.42857142857142,19,2.142857142857143,6.25,4.285714285714286,No
PRV51260,62,92390,1490.1612903225807,3204.0,51.67741935483871,55,2.629032258064516,8.666666666666666,4.661290322580645,No
PRV51261,142,270170,1902.605633802817,27120.0,192.3404255319149,123,2.6338028169014085,5.576923076923077,4.774647887323944,No
PRV51262,60,16270,271.1666666666667,40.0,0.6666666666666666,52,1.2666666666666666,,4.816666666666666,No
PRV51263,44,218170,4958.409090909091,19294.0,438.5,37,4.75,9.166666666666666,4.340909090909091,Yes
PRV51264,39,5270,135.12820512820514,120.0,3.076923076923077,35,0.6153846153846154,,3.7435897435897436,No
PRV51265,160,45770,286.0625,750.0,4.6875,84,1.58125,,4.13125,No
PRV51266,92,102900,1118.4782608695652,9762.0,107.27472527472527,82,1.6630434782608696,6.9,4.760869565217392,No
PRV51267,14,12870,919.2857142857143,2166.0,154.71428571428572,14,0.42857142857142855,3.0,5.0,No
PRV51271,123,43180,351.0569105691057,2336.0,18.991869918699187,90,0.8130081300813008,4.0,4.211382113821138,No
PRV51272,79,50760,642.5316455696203,2756.0,34.88607594936709,31,2.0253164556962027,3.0,4.291139240506329,No
PRV51273,553,131340,237.50452079566003,1400.0,2.5316455696202533,387,1.2513562386980108,,4.229656419529837,No
PRV51274,58,175720,3029.655172413793,10740.0,185.17241379310346,48,1.4827586206896552,3.6,3.9655172413793105,No
PRV51276,67,133980,1999.7014925373135,15272.0,227.9402985074627,60,1.7164179104477613,4.357142857142857,4.313432835820896,No
PRV51277,59,141190,2393.0508474576272,10920.0,185.08474576271186,54,1.8644067796610169,5.0,4.52542372881356,No
PRV51279,224,59840,267.14285714285717,750.0,3.3482142857142856,186,1.3883928571428572,,4.446428571428571,No
PRV51280,39,20250,519.2307692307693,0.0,0.0,34,1.3333333333333333,,3.6923076923076925,No
PRV51281,259,89470,345.44401544401546,690.0,2.664092664092664,200,1.393822393822394,,4.038610038610039,No
PRV51282,59,77330,1310.677966101695,8624.0,146.16949152542372,51,1.8135593220338984,3.625,4.491525423728813,No
PRV51284,377,279860,742.3342175066313,18058.0,48.026595744680854,223,1.7135278514588859,5.764705882352941,4.291777188328912,No
PRV51285,168,196120,1167.3809523809523,16530.0,98.39285714285714,109,1.3869047619047619,7.333333333333333,4.720238095238095,No
PRV51286,70,145170,2073.8571428571427,16330.0,233.28571428571428,62,1.8,5.2,4.614285714285714,No
PRV51287,78,25700,329.4871794871795,100.0,1.2820512820512822,46,1.6282051282051282,,4.833333333333333,No
PRV51288,8,37360,4670.0,3204.0,400.5,8,3.25,3.3333333333333335,3.75,No
PRV51289,92,46300,503.2608695652174,240.0,2.608695652173913,38,3.032608695652174,,5.6521739130434785,No
PRV51290,113,14990,132.65486725663717,260.0,2.3008849557522124,81,0.9469026548672567,,4.371681415929204,No
PRV51292,22,3970,180.45454545454547,0.0,0.0,16,3.5454545454545454,,3.772727272727273,No
PRV51293,88,21200,240.9090909090909,20.0,0.22727272727272727,64,1.4090909090909092,,3.9431818181818183,No
PRV51295,7,1950,278.57142857142856,0.0,0.0,6,2.857142857142857,,4.285714285714286,No
PRV51296,30,38630,1287.6666666666667,3284.0,109.46666666666667,27,2.5,11.666666666666666,4.166666666666667,No
PRV51297,70,77090,1101.2857142857142,5410.0,77.28571428571429,46,1.1142857142857143,2.6,4.714285714285714,No
PRV51298,100,31120,311.2,550.0,5.5,53,1.16,,3.75,No
PRV51299,37,6230,168.3783783783784,30.0,0.8108108108108109,27,2.189189189189189,,4.54054054054054,No
PRV51300,52,107540,2068.076923076923,7636.0,146.84615384615384,32,2.2115384615384617,3.5714285714285716,4.730769230769231,No
PRV51301,112,136910,1222.4107142857142,6718.0,59.982142857142854,63,1.25,9.666666666666666,4.419642857142857,No
PRV51302,43,80710,1876.9767441860465,10750.0,250.0,34,0.9534883720930233,3.9,4.3023255813953485,No
PRV51303,93,36110,388.2795698924731,510.0,5.483870967741935,49,1.3118279569892473,,4.741935483870968,No
PRV51304,51,39350,771.5686274509804,2306.0,45.21568627450981,39,0.7450980392156863,4.0,4.078431372549019,No
PRV51305,49,113400,2314.285714285714,11748.0,239.75510204081633,29,3.0408163265306123,6.2727272727272725,4.387755102040816,No
PRV51306,17,3700,217.64705882352942,100.0,5.882352941176471,13,3.411764705882353,,3.411764705882353,No
PRV51307,37,6940,187.56756756756758,80.0,2.1621621621621623,21,1.6216216216216217,,3.7837837837837838,No
PRV51308,35,13790,394.0,130.0,3.7142857142857144,31,1.5714285714285714,,3.8,No
PRV51309,18,3790,210.55555555555554,0.0,0.0,17,0.05555555555555555,,5.222222222222222,No
PRV51311,21,16010,762.3809523809524,3204.0,152.57142857142858,18,3.3333333333333335,4.0,3.857142857142857,No
PRV51312,46,28790,625.8695652173913,4272.0,92.8695652173913,29,2.1739130434782608,4.25,4.282608695652174,No
PRV51313,19,4970,261.57894736842104,90.0,4.7368421052631575,16,0.10526315789473684,,4.157894736842105,No
PRV51314,30,6460,215.33333333333334,0.0,0.0,20,0.8666666666666667,,3.7666666666666666,No
PRV51315,47,7210,153.40425531914894,340.0,7.23404255319149,22,1.297872340425532,,3.6808510638297873,No
PRV51316,3,21000,7000.0,3204.0,1068.0,3,9.333333333333334,9.333333333333334,3.0,No
PRV51318,3,13000,4333.333333333333,3204.0,1068.0,3,3.6666666666666665,3.6666666666666665,7.333333333333333,No
PRV51322,12,850,70.83333333333333,0.0,0.0,11,0.08333333333333333,,3.4166666666666665,No
PRV51323,76,20860,274.4736842105263,320.0,4.2105263157894735,32,0.8947368421052632,,3.973684210526316,No
PRV51324,28,9330,333.2142857142857,0.0,0.0,25,0.9285714285714286,,4.214285714285714,No
PRV51325,15,15140,1009.3333333333334,0.0,0.0,5,4.466666666666667,,4.8,No
PRV51326,44,14000,318.1818181818182,90.0,2.0454545454545454,22,2.4545454545454546,,3.1363636363636362,No
PRV51327,41,8990,219.26829268292684,150.0,3.658536585365854,27,0.5609756097560976,,3.4390243902439024,No
PRV51328,7,550,78.57142857142857,0.0,0.0,5,0.14285714285714285,,2.0,No
PRV51329,74,19360,261.6216216216216,240.0,3.2432432432432434,28,1.5945945945945945,,3.891891891891892,No
PRV51330,19,3810,200.52631578947367,20.0,1.0526315789473684,9,1.4210526315789473,,4.157894736842105,No
PRV51331,5,320,64.0,40.0,8.0,4,0.0,,6.4,No
PRV51334,2,15000,7500.0,2136.0,1068.0,2,4.5,4.5,2.5,No
PRV51335,142,46080,324.50704225352115,400.0,2.816901408450704,92,1.9295774647887325,,4.563380281690141,No
PRV51336,69,129450,1876.0869565217392,10700.0,155.07246376811594,69,2.550724637681159,5.9,4.536231884057971,No
PRV51337,168,379100,2256.5476190476193,41952.0,251.20958083832335,155,2.1964285714285716,5.075,4.589285714285714,Yes
